country_mentioned,author_country,weight,x,y,from,name,xend,yend,to
japan,iran,0.024390243902439025,54.27407004,32.57503292,103,Japan,138.03089558,37.59230135,111
japan,netherlands,0.024390243902439025,5.28144793,52.1007899,162,Japan,138.03089558,37.59230135,111
japan,spain,0.02168021680216802,-3.64755047,40.24448698,67,Japan,138.03089558,37.59230135,111
japan,united states,0.0975609756097561,-112.4616737,45.6795472,227,Japan,138.03089558,37.59230135,111
jersey,united states,0.21951219512195122,-112.4616737,45.6795472,227,Jersey,-2.12689938,49.21837377,109
jordan,israel,0.04878048780487805,35.00444693,31.46110101,106,Jordan,36.77136104,31.24579091,110
jordan,united kingdom,0.024390243902439025,-2.86563164,54.12387156,77,Jordan,36.77136104,31.24579091,110
kazakhstan,japan,0.024390243902439025,138.03089558,37.59230135,111,Kazakhstan,67.29149357,48.15688067,113
kazakhstan,russia,0.024390243902439025,96.68656112,61.98052209,184,Kazakhstan,67.29149357,48.15688067,113
kazakhstan,united states,0.024390243902439025,-112.4616737,45.6795472,227,Kazakhstan,67.29149357,48.15688067,113
kenya,canada,0.024390243902439025,-98.30777028,61.36206324,26,Kenya,37.79593973,0.59988022,114
kenya,egypt,0.024390243902439025,29.86190099,26.49593311,65,Kenya,37.79593973,0.59988022,114
kenya,nigeria,0.024390243902439025,8.08943895,9.59411452,159,Kenya,37.79593973,0.59988022,114
kenya,united kingdom,0.024390243902439025,-2.86563164,54.12387156,77,Kenya,37.79593973,0.59988022,114
kuwait,austria,0.024390243902439025,14.1264761,47.58549439,17,Kuwait,47.58700459,29.33431262,121
lebanon,france,0.024390243902439025,-2.76172945,42.17344011,73,Lebanon,35.88016072,33.92306631,123
madagascar,france,0.04878048780487805,-2.76172945,42.17344011,73,Madagascar,46.70473674,-19.37189587,138
malawi,egypt,0.024390243902439025,29.86190099,26.49593311,65,Malawi,34.28935599,-13.21808088,153
malawi,united kingdom,0.024390243902439025,-2.86563164,54.12387156,77,Malawi,34.28935599,-13.21808088,153
malaysia,australia,0.04878048780487805,134.49100008,-25.73288704,16,Malaysia,109.69762284,3.78986846,154
malaysia,new zealand,0.024390243902439025,171.48492347,-41.81113557,166,Malaysia,109.69762284,3.78986846,154
mali,france,0.024390243902439025,-2.76172945,42.17344011,73,Mali,-3.54269065,17.34581581,143
mali,italy,0.024390243902439025,12.07001339,42.79662641,107,Mali,-3.54269065,17.34581581,143
malta,united kingdom,0.04878048780487805,-2.86563164,54.12387156,77,Malta,14.40523316,35.92149632,144
mexico,belgium,0.024390243902439025,4.64065114,50.63981576,20,Mexico,-102.52345169,23.94753724,140
mexico,brazil,0.024390243902439025,-53.09783113,-10.78777702,34,Mexico,-102.52345169,23.94753724,140
mexico,canada,0.07046070460704607,-98.30777028,61.36206324,26,Mexico,-102.52345169,23.94753724,140
mexico,egypt,0.024390243902439025,29.86190099,26.49593311,65,Mexico,-102.52345169,23.94753724,140
mexico,germany,0.024390243902439025,10.38578051,51.10698181,58,Mexico,-102.52345169,23.94753724,140
mexico,israel,0.024390243902439025,35.00444693,31.46110101,106,Mexico,-102.52345169,23.94753724,140
mexico,united states,0.5338753387533876,-112.4616737,45.6795472,227,Mexico,-102.52345169,23.94753724,140
mongolia,china,0.17073170731707318,103.81907349,36.56176546,42,Mongolia,103.05299765,46.82681544,147
mongolia,india,0.024390243902439025,79.6119761,22.88578212,99,Mongolia,103.05299765,46.82681544,147
mongolia,russia,0.024390243902439025,96.68656112,61.98052209,184,Mongolia,103.05299765,46.82681544,147
namibia,south africa,0.024390243902439025,25.08390093,-29.00034095,239,Namibia,17.20963567,-22.13032568,155
nepal,canada,0.024390243902439025,-98.30777028,61.36206324,26,Nepal,83.9158264,28.24891365,164
nepal,india,0.024390243902439025,79.6119761,22.88578212,99,Nepal,83.9158264,28.24891365,164
nepal,norway,0.024390243902439025,15.34834656,68.75015572,163,Nepal,83.9158264,28.24891365,164
nepal,united kingdom,0.024390243902439025,-2.86563164,54.12387156,77,Nepal,83.9158264,28.24891365,164
nepal,united states,0.04878048780487805,-112.4616737,45.6795472,227,Nepal,83.9158264,28.24891365,164
netherlands,australia,0.04878048780487805,134.49100008,-25.73288704,16,Netherlands,5.28144793,52.1007899,162
netherlands,united states,0.024390243902439025,-112.4616737,45.6795472,227,Netherlands,5.28144793,52.1007899,162
new zealand,canada,0.024390243902439025,-98.30777028,61.36206324,26,New Zealand,171.48492347,-41.81113557,166
new zealand,united states,0.024390243902439025,-112.4616737,45.6795472,227,New Zealand,171.48492347,-41.81113557,166
niger,germany,0.024390243902439025,10.38578051,51.10698181,58,Niger,9.38545882,17.41912493,157
niger,nigeria,0.07317073170731707,8.08943895,9.59411452,159,Niger,9.38545882,17.41912493,157
nigeria,australia,0.024390243902439025,134.49100008,-25.73288704,16,Nigeria,8.08943895,9.59411452,159
nigeria,austria,0.024390243902439025,14.1264761,47.58549439,17,Nigeria,8.08943895,9.59411452,159
nigeria,brazil,0.024390243902439025,-53.09783113,-10.78777702,34,Nigeria,8.08943895,9.59411452,159
nigeria,canada,0.04878048780487805,-98.30777028,61.36206324,26,Nigeria,8.08943895,9.59411452,159
nigeria,china,0.21951219512195122,103.81907349,36.56176546,42,Nigeria,8.08943895,9.59411452,159
nigeria,cã´te d'ivoire,0.024390243902439025,-5.5692157,7.6284262,43,Nigeria,8.08943895,9.59411452,159
nigeria,croatia,0.024390243902439025,16.40412899,45.08047631,94,Nigeria,8.08943895,9.59411452,159
nigeria,denmark,0.024390243902439025,10.02800992,55.98125296,61,Nigeria,8.08943895,9.59411452,159
nigeria,egypt,0.0975609756097561,29.86190099,26.49593311,65,Nigeria,8.08943895,9.59411452,159
nigeria,france,0.0975609756097561,-2.76172945,42.17344011,73,Nigeria,8.08943895,9.59411452,159
nigeria,germany,0.1951219512195122,10.38578051,51.10698181,58,Nigeria,8.08943895,9.59411452,159
nigeria,greece,0.024390243902439025,22.95555794,39.07469623,85,Nigeria,8.08943895,9.59411452,159
nigeria,hungary,0.024390243902439025,19.39559116,47.16277506,96,Nigeria,8.08943895,9.59411452,159
nigeria,iceland,0.04607046070460705,-18.57396167,64.99575386,105,Nigeria,8.08943895,9.59411452,159
nigeria,india,0.21951219512195122,79.6119761,22.88578212,99,Nigeria,8.08943895,9.59411452,159
nigeria,indonesia,0.04336043360433604,117.24011366,-2.21505456,97,Nigeria,8.08943895,9.59411452,159
nigeria,iran,0.04878048780487805,54.27407004,32.57503292,103,Nigeria,8.08943895,9.59411452,159
nigeria,israel,0.04878048780487805,35.00444693,31.46110101,106,Nigeria,8.08943895,9.59411452,159
nigeria,italy,0.0975609756097561,12.07001339,42.79662641,107,Nigeria,8.08943895,9.59411452,159
nigeria,japan,0.04878048780487805,138.03089558,37.59230135,111,Nigeria,8.08943895,9.59411452,159
nigeria,kuwait,0.024390243902439025,47.58700459,29.33431262,121,Nigeria,8.08943895,9.59411452,159
nigeria,latvia,0.024390243902439025,24.91235983,56.85085163,132,Nigeria,8.08943895,9.59411452,159
nigeria,mauritius,0.024390243902439025,57.57120551,-20.27768704,152,Nigeria,8.08943895,9.59411452,159
nigeria,netherlands,0.024390243902439025,5.28144793,52.1007899,162,Nigeria,8.08943895,9.59411452,159
nigeria,new zealand,0.024390243902439025,171.48492347,-41.81113557,166,Nigeria,8.08943895,9.59411452,159
nigeria,poland,0.024390243902439025,19.39012835,52.12759564,175,Nigeria,8.08943895,9.59411452,159
nigeria,portugal,0.024390243902439025,-8.50104361,39.59550671,178,Nigeria,8.08943895,9.59411452,159
nigeria,romania,0.04878048780487805,24.97293039,45.85243127,183,Nigeria,8.08943895,9.59411452,159
nigeria,russia,0.04878048780487805,96.68656112,61.98052209,184,Nigeria,8.08943895,9.59411452,159
nigeria,slovakia,0.024390243902439025,19.47905218,48.70547528,204,Nigeria,8.08943895,9.59411452,159
nigeria,south africa,0.024390243902439025,25.08390093,-29.00034095,239,Nigeria,8.08943895,9.59411452,159
nigeria,spain,0.04878048780487805,-3.64755047,40.24448698,67,Nigeria,8.08943895,9.59411452,159
nigeria,united kingdom,0.33875338753387535,-2.86563164,54.12387156,77,Nigeria,8.08943895,9.59411452,159
nigeria,united states,0.6314363143631436,-112.4616737,45.6795472,227,Nigeria,8.08943895,9.59411452,159
norway,netherlands,0.024390243902439025,5.28144793,52.1007899,162,Norway,15.34834656,68.75015572,163
norway,united states,0.024390243902439025,-112.4616737,45.6795472,227,Norway,15.34834656,68.75015572,163
oman,canada,0.02168021680216802,-98.30777028,61.36206324,26,Oman,56.09166155,20.60515333,167
oman,switzerland,0.024390243902439025,8.20867471,46.79785878,40,Oman,56.09166155,20.60515333,167
oman,united arab emirates,0.024390243902439025,54.3001671,23.90528188,8,Oman,56.09166155,20.60515333,167
pakistan,china,0.07317073170731707,103.81907349,36.56176546,42,Pakistan,69.33957937,29.9497515,168
pakistan,egypt,0.024390243902439025,29.86190099,26.49593311,65,Pakistan,69.33957937,29.9497515,168
pakistan,india,0.0975609756097561,79.6119761,22.88578212,99,Pakistan,69.33957937,29.9497515,168
pakistan,united states,0.024390243902439025,-112.4616737,45.6795472,227,Pakistan,69.33957937,29.9497515,168
panama,united states,0.024390243902439025,-112.4616737,45.6795472,227,Panama,-80.11915156,8.51750797,169
peru,argentina,0.07046070460704607,-65.17980692,-35.3813488,9,Peru,-74.38242685,-9.15280381,171
peru,canada,0.024390243902439025,-98.30777028,61.36206324,26,Peru,-74.38242685,-9.15280381,171
peru,costa rica,0.024390243902439025,-84.19208768,9.97634464,51,Peru,-74.38242685,-9.15280381,171
peru,india,0.024390243902439025,79.6119761,22.88578212,99,Peru,-74.38242685,-9.15280381,171
peru,new zealand,0.024390243902439025,171.48492347,-41.81113557,166,Peru,-74.38242685,-9.15280381,171
peru,portugal,0.04878048780487805,-8.50104361,39.59550671,178,Peru,-74.38242685,-9.15280381,171
peru,united kingdom,0.04878048780487805,-2.86563164,54.12387156,77,Peru,-74.38242685,-9.15280381,171
peru,united states,0.24390243902439024,-112.4616737,45.6795472,227,Peru,-74.38242685,-9.15280381,171
philippines,united states,0.04878048780487805,-112.4616737,45.6795472,227,Philippines,122.88393253,11.77536778,172
qatar,lebanon,0.024390243902439025,35.88016072,33.92306631,123,Qatar,51.18479632,25.30601188,182
romania,spain,0.024390243902439025,-3.64755047,40.24448698,67,Romania,24.97293039,45.85243127,183
senegal,germany,0.024390243902439025,10.38578051,51.10698181,58,Senegal,-14.4734924,14.36624173,190
serbia,australia,0.04878048780487805,134.49100008,-25.73288704,16,Serbia,20.78958334,44.2215032,201
slovakia,hungary,0.024390243902439025,19.39559116,47.16277506,96,Slovakia,19.47905218,48.70547528,204
spain,egypt,0.024390243902439025,29.86190099,26.49593311,65,Spain,-3.64755047,40.24448698,67
spain,netherlands,0.024390243902439025,5.28144793,52.1007899,162,Spain,-3.64755047,40.24448698,67
spain,united states,0.04878048780487805,-112.4616737,45.6795472,227,Spain,-3.64755047,40.24448698,67
sudan,egypt,0.024390243902439025,29.86190099,26.49593311,65,Sudan,29.94046812,15.99035669,188
sudan,france,0.024390243902439025,-2.76172945,42.17344011,73,Sudan,29.94046812,15.99035669,188
sudan,united kingdom,0.024390243902439025,-2.86563164,54.12387156,77,Sudan,29.94046812,15.99035669,188
suriname,netherlands,0.024390243902439025,5.28144793,52.1007899,162,Suriname,-55.9123457,4.13055413,203
sweden,chile,0.024390243902439025,-71.38256213,-37.73070989,41,Sweden,16.74558049,62.77966519,206
sweden,japan,0.024390243902439025,138.03089558,37.59230135,111,Sweden,16.74558049,62.77966519,206
sweden,spain,0.024390243902439025,-3.64755047,40.24448698,67,Sweden,16.74558049,62.77966519,206
switzerland,australia,0.024390243902439025,134.49100008,-25.73288704,16,Switzerland,8.20867471,46.79785878,40
switzerland,china,1,103.81907349,36.56176546,42,Switzerland,8.20867471,46.79785878,40
switzerland,czech rep.,0.024390243902439025,15.31240163,49.73341233,57,Switzerland,8.20867471,46.79785878,40
switzerland,estonia,0.024390243902439025,25.54248537,58.67192972,68,Switzerland,8.20867471,46.79785878,40
switzerland,ghana,0.024390243902439025,-1.21676566,7.95345644,80,Switzerland,8.20867471,46.79785878,40
switzerland,indonesia,0.024390243902439025,117.24011366,-2.21505456,97,Switzerland,8.20867471,46.79785878,40
switzerland,malaysia,0.024390243902439025,109.69762284,3.78986846,154,Switzerland,8.20867471,46.79785878,40
switzerland,pakistan,0.024390243902439025,69.33957937,29.9497515,168,Switzerland,8.20867471,46.79785878,40
switzerland,taiwan,0.024390243902439025,120.95427281,23.7539928,222,Switzerland,8.20867471,46.79785878,40
switzerland,thailand,0.04878048780487805,101.0028813,15.11815794,214,Switzerland,8.20867471,46.79785878,40
tajikistan,kyrgyzstan,0.024390243902439025,74.54165513,41.46221943,115,Tajikistan,71.01362631,38.5304539,215
thailand,australia,0.024390243902439025,134.49100008,-25.73288704,16,Thailand,101.0028813,15.11815794,214
thailand,germany,0.024390243902439025,10.38578051,51.10698181,58,Thailand,101.0028813,15.11815794,214
tunisia,france,0.024390243902439025,-2.76172945,42.17344011,73,Tunisia,9.55288359,34.11956246,220
tunisia,united kingdom,0.0975609756097561,-2.86563164,54.12387156,77,Tunisia,9.55288359,34.11956246,220
turkey,brazil,0.024390243902439025,-53.09783113,-10.78777702,34,Turkey,35.16895346,39.0616029,221
turkey,canada,0.07317073170731707,-98.30777028,61.36206324,26,Turkey,35.16895346,39.0616029,221
turkey,china,0.024390243902439025,103.81907349,36.56176546,42,Turkey,35.16895346,39.0616029,221
turkey,egypt,0.024390243902439025,29.86190099,26.49593311,65,Turkey,35.16895346,39.0616029,221
turkey,netherlands,0.04878048780487805,5.28144793,52.1007899,162,Turkey,35.16895346,39.0616029,221
turkey,saudi arabia,0.024390243902439025,44.53686271,24.12245841,187,Turkey,35.16895346,39.0616029,221
turkey,south africa,0.024390243902439025,25.08390093,-29.00034095,239,Turkey,35.16895346,39.0616029,221
turkey,united states,0.024390243902439025,-112.4616737,45.6795472,227,Turkey,35.16895346,39.0616029,221
united kingdom,australia,0.04878048780487805,134.49100008,-25.73288704,16,United Kingdom,-2.86563164,54.12387156,77
united kingdom,austria,0.024390243902439025,14.1264761,47.58549439,17,United Kingdom,-2.86563164,54.12387156,77
